date,realtime_end,realtime_start,GDPC1
1948-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2021.9
1948-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2021.851
1948-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1303.8
1948-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1948-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1497.0
1948-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1948-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1568.4
1948-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1654.1
1948-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1866.9
1948-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1865.3
1948-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2031.2
1948-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2033.2
1948-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2033.155
1948-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1316.4
1948-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1948-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1498.9
1948-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1948-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1571.4
1948-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1658.0
1948-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1869.8
1948-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1868.2
1948-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2033.3
1948-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2035.3
1948-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2035.329
1949-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1305.3
1949-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1949-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1480.1
1949-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1949-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1549.4
1949-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1633.2
1949-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1843.8
1949-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1842.2
1949-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2005.6
1949-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2007.5
1949-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2007.522
1949-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1302.0
1949-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1949-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1474.1
1949-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1949-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1545.1
1949-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1628.4
1949-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1837.1
1949-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1835.5
1949-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,1998.8
1949-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2000.8
1949-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2000.788
1949-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1312.6
1949-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1949-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1490.7
1949-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1949-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1562.6
1949-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1646.7
1949-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1857.7
1949-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1856.1
1949-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2020.8
1949-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2022.8
1949-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2022.798
1949-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1301.9
1949-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1949-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1474.5
1949-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1949-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1546.5
1949-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1629.9
1949-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1840.3
