date,realtime_end,realtime_start,PPIACO
1919-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,22.4
1919-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,22.6
1919-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,22.9
1919-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,23.3
1919-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,23.4
1919-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.3
1919-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.9
1919-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.3
1919-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.4
1919-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.9
1919-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,26.0
1920-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,27.2
1920-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,27.1
1920-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,27.3
1920-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,28.5
1920-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,28.8
1920-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,28.7
1920-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,28.6
1920-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,27.8
1920-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,26.8
1920-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,24.9
1920-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,23.0
1920-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,20.8
1921-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,19.6
1921-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,18.1
1921-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.7
1921-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1921-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1921-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1921-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1921-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1921-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1921-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.2
1921-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.2
1921-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.0
1922-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.7
1922-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.0
1922-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.0
1922-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1922-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1922-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1922-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1922-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1922-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1922-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.2
1922-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1922-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1923-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.6
1923-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.8
1923-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,18.0
1923-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.9
1923-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.5
1923-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1923-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1923-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.9
1923-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.2
1923-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1923-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1923-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.9
1924-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.2
1924-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.2
1924-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1924-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1924-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1924-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1924-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1924-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1924-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1924-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.9
1924-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1924-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.5
1925-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.7
1925-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.9
1925-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.9
1925-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.5
1925-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.5
1925-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.7
1925-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,18.0
1925-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.9
1925-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.8
1925-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.8
1925-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,18.0
1925-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.8
1926-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.8
1926-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.6
1926-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1926-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1926-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1926-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.3
1926-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1926-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1926-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.2
1926-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.1
1926-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1926-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.9
1927-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1927-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1927-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1927-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.3
1927-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.2
1927-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.2
1927-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.2
1927-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1927-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1927-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1927-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1927-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1928-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1928-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1928-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1928-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1928-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.8
1928-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1928-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.8
1928-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.8
1928-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,17.0
1928-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.7
1928-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1928-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1929-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1929-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1929-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1929-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.5
1929-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.3
1929-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1929-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1929-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
