date,realtime_end,realtime_start,PAYEMS
1940-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,32886.0
1940-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,32875.0
1940-09-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,32810.0
1940-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,33287.0
1940-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,33286.0
1940-10-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,33265.0
1940-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,33637.0
1940-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,33650.0
1940-11-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,33668.0
1940-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,34173.0
1940-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,34186.0
1940-12-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,34172.0
1941-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,34363.0
1941-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,34392.0
1941-01-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,34480.0
1941-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,34631.0
1941-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,34659.0
1941-02-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,34844.0
1941-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,35023.0
1941-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,34966.0
1941-03-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,35094.0
1941-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,35280.0
1941-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,35353.0
1941-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,35468.0
1941-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,35469.0
1941-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,36082.0
1941-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,36069.0
1941-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,36182.0
1941-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,36558.0
1941-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,36549.0
1941-06-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,36651.0
1941-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,37163.0
1941-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,37159.0
1941-07-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,37137.0
1941-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,37527.0
1941-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,37507.0
1941-08-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,37544.0
1941-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,37835.0
1941-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,37826.0
1941-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,37836.0
1941-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,37835.0
1941-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,37874.0
1941-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,37873.0
1941-10-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,37948.0
1941-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,37899.0
1941-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,37912.0
1941-11-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,38024.0
1941-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38056.0
1941-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38068.0
1941-12-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,38104.0
1942-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38230.0
1942-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38252.0
1942-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,38348.0
1942-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,38347.0
1942-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38324.0
1942-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38342.0
1942-02-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,38513.0
1942-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,38813.0
1942-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,38812.0
