date,realtime_end,realtime_start,TCU
1968-06-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.6623
1968-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.6598
1968-07-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.6
1968-07-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.2
1968-07-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.1
1968-07-01 00:00:00,2018-02-14 00:00:00,2003-11-10 00:00:00,87.2
1968-07-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.1861
1968-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.1832
1968-08-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.5
1968-08-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.1
1968-08-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.0
1968-08-01 00:00:00,2018-02-14 00:00:00,2003-11-10 00:00:00,87.1
1968-08-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.0894
1968-08-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.0861
1968-09-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.5
1968-09-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,87.0
1968-09-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,87.1
1968-09-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.0806
1968-09-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.0769
1968-10-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.4
1968-10-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,86.9
1968-10-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,86.8
1968-10-01 00:00:00,2018-02-14 00:00:00,2003-11-10 00:00:00,86.9
1968-10-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,86.9167
1968-10-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,86.9126
1968-11-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.2
1968-11-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.7
1968-11-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.6
1968-11-01 00:00:00,2018-02-14 00:00:00,2003-11-10 00:00:00,87.7
1968-11-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.7025
1968-11-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.698
1968-12-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.1
1968-12-01 00:00:00,2008-03-27 00:00:00,1997-01-27 00:00:00,87.6
1968-12-01 00:00:00,2015-07-20 00:00:00,2008-03-28 00:00:00,87.7
1968-12-01 00:00:00,2018-02-14 00:00:00,2015-07-21 00:00:00,87.6
1968-12-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.6424
1968-12-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.6374
1969-01-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.3
1969-01-01 00:00:00,2008-03-27 00:00:00,1997-01-27 00:00:00,87.8
1969-01-01 00:00:00,2016-03-31 00:00:00,2008-03-28 00:00:00,87.9
1969-01-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,87.8
1969-01-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.8446
1969-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.8392
1969-02-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.6
1969-02-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,88.0
