date,realtime_end,realtime_start,PPI
1986-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.3
1986-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.6
1986-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.0
1986-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.9
1986-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.4
1986-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.3
1986-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.4
1986-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
1986-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.8
1986-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
1987-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.5
1987-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.0
1987-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.2
1987-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.9
1987-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.6
1987-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.0
1987-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.5
1987-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.8
1987-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.7
1987-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.1
1987-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.2
1987-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.2
1988-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.6
1988-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.8
1988-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.9
1988-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,105.8
1988-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,106.5
