RRS,date,realtime_end,realtime_start
109971.45230139431,1984-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
110591.27793425588,1985-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
111146.58246881615,1985-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
111188.89138573504,1985-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
112414.79225345953,1985-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
112908.74885848744,1985-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
111966.31773411942,1985-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
111953.62505904376,1985-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
113348.76159444377,1985-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
116328.36706845577,1985-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
112537.48811252428,1985-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
112561.81573975264,1985-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
113449.2452721261,1985-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
114131.47655744302,1986-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
113273.66326691276,1986-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
113106.54304508319,1986-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
114246.76835604696,1986-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
115586.90329945243,1986-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
115286.50998932839,1986-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
115574.21062437676,1986-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
116649.91483703925,1986-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123054.42713563444,1986-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
117690.71419324365,1986-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
116932.32685747276,1986-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121772.46695299243,1986-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
113198.56493938176,1987-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
118414.19667255647,1987-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
118792.86147898043,1987-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119234.98966078271,1987-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
118896.51832543168,1987-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120009.24284039818,1987-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120483.10270988962,1987-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122196.61384510419,1987-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120165.78583299804,1987-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119443.36107660818,1987-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119480.3813789122,1987-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120762.34156155422,1987-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120752.82205524747,1988-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121463.61185948462,1988-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123131.6409090114,1988-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121948.04895820578,1988-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122615.47212260109,1988-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122682.10866674832,1988-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122510.75755322685,1988-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122800.57363412117,1988-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121786.21735099106,1988-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123935.51033047009,1988-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124554.27824040868,1988-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
