date,realtime_end,realtime_start,BP
1986-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1847.0
1986-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1767.0
1986-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1780.0
1986-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1858.0
1986-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1797.0
1986-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1790.0
1986-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1780.0
1986-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1726.0
1986-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1686.0
1986-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1675.0
1986-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1644.0
1986-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1903.0
1987-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1690.0
1987-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1689.0
1987-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1704.0
1987-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1601.0
1987-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1500.0
1987-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1522.0
1987-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1516.0
1987-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1511.0
1987-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1514.0
1987-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1447.0
1987-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1457.0
1987-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1345.0
1988-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1244.0
1988-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1438.0
1988-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1525.0
1988-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1429.0
1988-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1444.0
1988-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1485.0
1988-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1439.0
1988-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1460.0
1988-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1436.0
1988-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1516.0
1988-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1508.0
1988-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1501.0
1989-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1466.0
1989-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1383.0
1989-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1214.0
1989-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1376.0
1989-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1381.0
1989-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1322.0
1989-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1283.0
1989-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1334.0
1989-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1314.0
1989-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1365.0
1989-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1344.0
1989-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1422.0
1990-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1748.0
1990-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1329.0
1990-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1246.0
1990-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1136.0
1990-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1067.0
1990-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1108.0
1990-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1078.0
1990-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1069.0
1990-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,976.0
1990-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,925.0
1990-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,941.0
1990-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,861.0
1991-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,786.0
1991-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,853.0
1991-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,911.0
1991-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,916.0
1991-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,991.0
1991-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,964.0
1991-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,973.0
1991-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,944.0
1991-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,974.0
1991-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,991.0
1991-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,984.0
1991-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1061.0
1992-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1077.0
1992-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1146.0
1992-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1082.0
1992-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1054.0
1992-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1056.0
1992-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1057.0
1992-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1089.0
