date,realtime_end,realtime_start,RDPI
1980-06-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2686.8
1980-06-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3321.2
1980-06-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3334.1
1980-06-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3580.5
1980-06-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3607.0
1980-06-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-06-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3795.1
1980-06-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3795.0
1980-06-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-06-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4231.1
1980-06-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4229.2
1980-06-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4523.0
1980-06-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4522.9
1980-07-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2710.2
1980-07-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3351.1
1980-07-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3364.1
1980-07-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3607.8
1980-07-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3633.8
1980-07-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-07-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3827.4
1980-07-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3827.3
1980-07-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-07-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4266.3
1980-07-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4264.3
1980-07-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4564.5
1980-07-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4564.4
1980-08-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2719.2
1980-08-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3350.7
1980-08-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3363.8
1980-08-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3607.1
1980-08-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3632.5
1980-08-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-08-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3833.6
1980-08-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3833.5
1980-08-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-08-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4272.6
1980-08-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4270.7
1980-08-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4572.7
1980-09-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2738.0
1980-09-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3366.4
1980-09-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3379.5
1980-09-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3621.5
1980-09-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3646.5
1980-09-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-09-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3856.1
1980-09-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3856.0
1980-09-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-09-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4300.1
1980-09-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4298.1
1980-09-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4597.8
1980-09-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4597.7
1980-10-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2763.0
1980-10-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3401.2
1980-10-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3414.9
1980-10-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3660.4
1980-10-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3685.3
1980-10-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-10-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3906.7
1980-10-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3906.6
1980-10-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-10-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4352.0
1980-10-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4350.0
1980-10-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4653.2
1980-11-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2773.9
1980-11-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3416.2
1980-11-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3429.3
1980-11-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3676.0
1980-11-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3700.8
1980-11-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-11-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3917.3
1980-11-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3917.2
1980-11-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-11-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4365.7
1980-11-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4363.7
1980-11-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4664.9
1980-12-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2794.0
1980-12-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3441.4
1980-12-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3453.2
1980-12-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3699.6
1980-12-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3725.0
1980-12-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-12-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3938.7
1980-12-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3938.6
1980-12-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-12-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4386.3
1980-12-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4384.3
1980-12-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4686.5
1980-12-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4686.4
1981-01-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2784.9
1981-01-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3444.4
1981-01-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3453.1
1981-01-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3694.9
1981-01-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3721.7
1981-01-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-01-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3910.8
1981-01-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-01-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4366.0
1981-01-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4364.0
1981-01-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4664.0
1981-02-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2780.6
1981-02-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3433.3
1981-02-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3440.8
1981-02-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3680.2
1981-02-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3707.2
1981-02-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-02-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3898.7
1981-02-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-02-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4348.5
1981-02-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4346.6
1981-02-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4646.3
1981-02-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4646.2
1981-03-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2785.5
1981-03-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3439.1
1981-03-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3446.1
1981-03-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3684.5
1981-03-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3711.7
1981-03-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-03-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3907.7
1981-03-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-03-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4359.8
1981-03-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4357.8
1981-03-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4656.8
1981-03-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4656.7
1981-04-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2778.3
1981-04-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3416.4
1981-04-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3422.6
1981-04-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3662.0
1981-04-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3688.5
1981-04-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-04-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3901.4
1981-04-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-04-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4344.8
1981-04-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4342.8
1981-04-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4642.1
1981-04-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4642.0
1981-05-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2772.5
1981-05-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3416.1
1981-05-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3423.5
1981-05-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3665.2
1981-05-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3691.4
1981-05-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-05-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3909.9
1981-05-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-05-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4353.4
1981-05-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4351.5
1981-05-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4649.3
1981-06-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2779.4
1981-06-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3429.2
1981-06-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3439.4
1981-06-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3683.9
1981-06-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3709.9
1981-06-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-06-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3933.6
1981-06-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-06-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4377.6
1981-06-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4375.6
1981-06-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4672.4
1981-06-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4672.3
1981-07-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2809.0
1981-07-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3476.7
1981-07-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3494.9
1981-07-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3746.1
1981-07-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3772.0
1981-07-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-07-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,3994.7
1981-07-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-07-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4447.6
1981-07-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4445.5
1981-07-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4743.8
1981-07-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4743.7
1981-08-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2818.7
1981-08-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3482.1
1981-08-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3502.2
