date,realtime_end,realtime_start,VXO
1993-06-01 00:00:00,2018-06-30,1993-06-30,12.97
1993-07-01 00:00:00,2018-06-30,1993-07-31,11.87
1993-08-01 00:00:00,2018-06-30,1993-08-31,11.95
1993-09-01 00:00:00,2018-06-30,1993-09-30,12.65
1993-10-01 00:00:00,2018-06-30,1993-10-31,11.38
1993-11-01 00:00:00,2018-06-30,1993-11-30,13.37
1993-12-01 00:00:00,2018-06-30,1993-12-31,10.86
1994-01-01 00:00:00,2018-06-30,1994-01-31,10.61
1994-02-01 00:00:00,2018-06-30,1994-02-28,12.89
1994-03-01 00:00:00,2018-06-30,1994-03-31,14.24
1994-04-01 00:00:00,2018-06-30,1994-04-30,15.33
1994-05-01 00:00:00,2018-06-30,1994-05-31,13.39
1994-06-01 00:00:00,2018-06-30,1994-06-30,12.95
1994-07-01 00:00:00,2018-06-30,1994-07-31,12.16
1994-08-01 00:00:00,2018-06-30,1994-08-31,11.36
1994-09-01 00:00:00,2018-06-30,1994-09-30,12.65
1994-10-01 00:00:00,2018-06-30,1994-10-31,15.05
1994-11-01 00:00:00,2018-06-30,1994-11-30,16.25
1994-12-01 00:00:00,2018-06-30,1994-12-31,13.81
1995-01-01 00:00:00,2018-06-30,1995-01-31,11.71
1995-02-01 00:00:00,2018-06-30,1995-02-28,11.2
1995-03-01 00:00:00,2018-06-30,1995-03-31,11.97
1995-04-01 00:00:00,2018-06-30,1995-04-30,12.52
1995-05-01 00:00:00,2018-06-30,1995-05-31,12.46
1995-06-01 00:00:00,2018-06-30,1995-06-30,13.18
1995-07-01 00:00:00,2018-06-30,1995-07-31,14.08
1995-08-01 00:00:00,2018-06-30,1995-08-31,13.35
1995-09-01 00:00:00,2018-06-30,1995-09-30,12.24
1995-10-01 00:00:00,2018-06-30,1995-10-31,14.23
1995-11-01 00:00:00,2018-06-30,1995-11-30,12.97
1995-12-01 00:00:00,2018-06-30,1995-12-31,12.29
1996-01-01 00:00:00,2018-06-30,1996-01-31,14.15
1996-02-01 00:00:00,2018-06-30,1996-02-29,16.24
1996-03-01 00:00:00,2018-06-30,1996-03-31,19.08
1996-04-01 00:00:00,2018-06-30,1996-04-30,17.51
1996-05-01 00:00:00,2018-06-30,1996-05-31,16.97
1996-06-01 00:00:00,2018-06-30,1996-06-30,17.68
1996-07-01 00:00:00,2018-06-30,1996-07-31,19.34
1996-08-01 00:00:00,2018-06-30,1996-08-31,16.48
1996-09-01 00:00:00,2018-06-30,1996-09-30,17.28
1996-10-01 00:00:00,2018-06-30,1996-10-31,17.4
1996-11-01 00:00:00,2018-06-30,1996-11-30,17.16
1996-12-01 00:00:00,2018-06-30,1996-12-31,20.11
1997-01-01 00:00:00,2018-06-30,1997-01-31,21.03
1997-02-01 00:00:00,2018-06-30,1997-02-28,21.65
1997-03-01 00:00:00,2018-06-30,1997-03-31,22.3
1997-04-01 00:00:00,2018-06-30,1997-04-30,21.51
1997-05-01 00:00:00,2018-06-30,1997-05-31,21.93
1997-06-01 00:00:00,2018-06-30,1997-06-30,22.74
1997-07-01 00:00:00,2018-06-30,1997-07-31,23.25
1997-08-01 00:00:00,2018-06-30,1997-08-31,25.15
1997-09-01 00:00:00,2018-06-30,1997-09-30,25.59
1997-10-01 00:00:00,2018-06-30,1997-10-31,25.61
1997-11-01 00:00:00,2018-06-30,1997-11-30,31.53
1997-12-01 00:00:00,2018-06-30,1997-12-31,26.5
