date,realtime_end,realtime_start,SPREAD
1989-06-01 00:00:00,2018-06-30,1989-06-30,-0.15
1989-07-01 00:00:00,2018-06-30,1989-07-31,-0.13
1989-08-01 00:00:00,2018-06-30,1989-08-31,-0.06
1989-09-01 00:00:00,2018-06-30,1989-09-30,0.18
1989-10-01 00:00:00,2018-06-30,1989-10-31,0.11
1989-11-01 00:00:00,2018-06-30,1989-11-30,-0.07
1989-12-01 00:00:00,2018-06-30,1989-12-31,-0.04
1990-01-01 00:00:00,2018-06-30,1990-01-31,0.31
1990-02-01 00:00:00,2018-06-30,1990-02-28,0.47
1990-03-01 00:00:00,2018-06-30,1990-03-31,0.42
1990-04-01 00:00:00,2018-06-30,1990-04-30,0.75
1990-05-01 00:00:00,2018-06-30,1990-05-31,0.75
1990-06-01 00:00:00,2018-06-30,1990-06-30,0.49
1990-07-01 00:00:00,2018-06-30,1990-07-31,0.6
1990-08-01 00:00:00,2018-06-30,1990-08-31,1.06
1990-09-01 00:00:00,2018-06-30,1990-09-30,1.29
1990-10-01 00:00:00,2018-06-30,1990-10-31,1.32
1990-11-01 00:00:00,2018-06-30,1990-11-30,1.1
1990-12-01 00:00:00,2018-06-30,1990-12-31,1.13
1991-01-01 00:00:00,2018-06-30,1991-01-31,1.68
1991-02-01 00:00:00,2018-06-30,1991-02-28,1.73
1991-03-01 00:00:00,2018-06-30,1991-03-31,2.02
1991-04-01 00:00:00,2018-06-30,1991-04-30,2.21
1991-05-01 00:00:00,2018-06-30,1991-05-31,2.44
1991-06-01 00:00:00,2018-06-30,1991-06-30,2.53
1991-07-01 00:00:00,2018-06-30,1991-07-31,2.52
1991-08-01 00:00:00,2018-06-30,1991-08-31,2.4
1991-09-01 00:00:00,2018-06-30,1991-09-30,2.28
1991-10-01 00:00:00,2018-06-30,1991-10-31,2.39
1991-11-01 00:00:00,2018-06-30,1991-11-30,2.73
1991-12-01 00:00:00,2018-06-30,1991-12-31,2.91
1992-01-01 00:00:00,2018-06-30,1992-01-31,3.12
1992-02-01 00:00:00,2018-06-30,1992-02-29,3.39
1992-03-01 00:00:00,2018-06-30,1992-03-31,3.4
1992-04-01 00:00:00,2018-06-30,1992-04-30,3.64
1992-05-01 00:00:00,2018-06-30,1992-05-31,3.67
1992-06-01 00:00:00,2018-06-30,1992-06-30,3.51
1992-07-01 00:00:00,2018-06-30,1992-07-31,3.56
1992-08-01 00:00:00,2018-06-30,1992-08-31,3.39
1992-09-01 00:00:00,2018-06-30,1992-09-30,3.45
1992-10-01 00:00:00,2018-06-30,1992-10-31,3.66
1992-11-01 00:00:00,2018-06-30,1992-11-30,3.66
1992-12-01 00:00:00,2018-06-30,1992-12-31,3.48
1993-01-01 00:00:00,2018-06-30,1993-01-31,3.53
1993-02-01 00:00:00,2018-06-30,1993-02-28,3.27
1993-03-01 00:00:00,2018-06-30,1993-03-31,2.97
1993-04-01 00:00:00,2018-06-30,1993-04-30,3.04
1993-05-01 00:00:00,2018-06-30,1993-05-31,3.01
1993-06-01 00:00:00,2018-06-30,1993-06-30,2.82
1993-07-01 00:00:00,2018-06-30,1993-07-31,2.7
1993-08-01 00:00:00,2018-06-30,1993-08-31,2.59
1993-09-01 00:00:00,2018-06-30,1993-09-30,2.35
1993-10-01 00:00:00,2018-06-30,1993-10-31,2.24
