date,realtime_end,realtime_start,CPI
1986-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,109.1
1986-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,108.7
1986-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,109.0
1986-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,109.4
1986-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,109.5
1986-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,109.6
1986-09-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,110.0
1986-10-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,110.2
1986-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,110.4
1986-12-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,110.8
1987-01-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,111.5
1987-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,111.4
1987-02-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,111.9
1987-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,111.8
1987-03-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,112.3
1987-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,112.2
1987-04-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,112.8
1987-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,112.7
1987-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,113.1
1987-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,113.0
1987-06-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,113.6
1987-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,113.5
1987-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,113.9
1987-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,113.8
1987-08-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,114.4
1987-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,114.3
1987-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,114.8
1987-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,114.7
1987-10-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,115.1
1987-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,115.0
1987-11-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,115.5
1987-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,115.4
1987-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,115.7
1987-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,115.6
1988-01-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,116.1
1988-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,116.0
1988-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,116.2
1988-03-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,116.6
1988-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,116.5
1988-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,117.2
1988-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,117.6
1988-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,117.5
1988-06-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,118.1
1988-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,118.0
1988-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,118.6
1988-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,118.5
1988-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,119.0
1988-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,119.6
1988-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,119.5
1988-10-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,120.0
1988-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,119.9
1988-11-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,120.4
1988-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,120.3
1988-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,120.8
1988-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,120.7
1989-01-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,121.3
1989-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,121.2
1989-02-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,121.7
1989-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,121.6
1989-03-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,122.3
1989-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,122.2
1989-04-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,123.2
1989-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,123.1
1989-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,123.8
1989-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,123.7
1989-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,124.1
1989-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,124.6
1989-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,124.5
1989-08-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,124.6
1989-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,124.5
1989-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,124.9
1989-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,124.8
1989-10-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,125.5
1989-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,125.4
1989-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,125.9
1989-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,126.4
1989-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,126.3
1990-01-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,127.5
1990-01-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,127.6
1990-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,127.5
1990-02-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,128.0
1990-02-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,128.1
1990-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,128.0
1990-03-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,128.7
1990-03-01 00:00:00,2018-06-30 00:00:00,1995-02-15 00:00:00,128.6
1990-04-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,129.0
1990-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,128.9
1990-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,129.2
1990-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,129.1
1990-06-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,130.0
1990-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,129.9
1990-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,130.6
1990-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,130.5
1990-08-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,131.7
1990-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,131.6
1990-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,132.6
1990-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,132.5
1990-10-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,133.4
1990-10-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,133.5
1990-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,133.4
1990-11-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,133.9
1990-11-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,133.8
1990-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,133.7
1990-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,134.3
1990-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,134.2
1991-01-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,134.8
1991-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,134.7
1991-02-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,134.9
1991-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,134.8
1991-03-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,135.0
1991-03-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,134.9
1991-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,134.8
1991-04-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,135.3
1991-04-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,135.2
1991-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,135.1
1991-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,135.7
1991-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,135.6
1991-06-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,136.0
1991-06-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,136.1
1991-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,136.0
1991-07-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,136.4
1991-07-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,136.3
1991-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,136.2
1991-08-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,136.7
1991-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,136.6
1991-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,137.1
1991-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,137.0
1991-10-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,137.3
1991-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,137.2
1991-11-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,137.9
1991-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,137.8
1991-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,138.3
1991-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,138.2
1992-01-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,138.4
1992-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,138.3
1992-02-01 00:00:00,1997-02-18 00:00:00,1995-01-01 00:00:00,138.6
1992-02-01 00:00:00,2002-02-19 00:00:00,1997-02-19 00:00:00,138.7
1992-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,138.6
1992-03-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,139.2
1992-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,139.1
1992-04-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,139.5
1992-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,139.4
1992-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,139.8
1992-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,139.7
1992-06-01 00:00:00,1997-02-18 00:00:00,1995-01-01 00:00:00,140.3
1992-06-01 00:00:00,2002-02-19 00:00:00,1997-02-19 00:00:00,140.2
1992-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,140.1
1992-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,140.6
1992-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,140.5
1992-08-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,141.0
1992-08-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,140.9
1992-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,140.8
1992-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,141.2
1992-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,141.1
1992-10-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,141.7
1992-10-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,141.8
1992-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,141.7
1992-11-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,142.1
1992-11-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,142.2
1992-11-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,142.1
1992-12-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,142.4
1992-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,142.3
1993-01-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,142.7
