date,realtime_end,realtime_start,FF
1988-07-01 00:00:00,2018-06-30,1988-07-31,7.75
1988-08-01 00:00:00,2018-06-30,1988-08-31,8.01
1988-09-01 00:00:00,2018-06-30,1988-09-30,8.19
1988-10-01 00:00:00,2018-06-30,1988-10-31,8.3
1988-11-01 00:00:00,2018-06-30,1988-11-30,8.35
1988-12-01 00:00:00,2018-06-30,1988-12-31,8.76
1989-01-01 00:00:00,2018-06-30,1989-01-31,9.12
1989-02-01 00:00:00,2018-06-30,1989-02-28,9.36
1989-03-01 00:00:00,2018-06-30,1989-03-31,9.85
1989-04-01 00:00:00,2018-06-30,1989-04-30,9.84
1989-05-01 00:00:00,2018-06-30,1989-05-31,9.81
1989-06-01 00:00:00,2018-06-30,1989-06-30,9.53
1989-07-01 00:00:00,2018-06-30,1989-07-31,9.24
1989-08-01 00:00:00,2018-06-30,1989-08-31,8.99
1989-09-01 00:00:00,2018-06-30,1989-09-30,9.02
1989-10-01 00:00:00,2018-06-30,1989-10-31,8.84
1989-11-01 00:00:00,2018-06-30,1989-11-30,8.55
1989-12-01 00:00:00,2018-06-30,1989-12-31,8.45
1990-01-01 00:00:00,2018-06-30,1990-01-31,8.23
1990-02-01 00:00:00,2018-06-30,1990-02-28,8.24
1990-03-01 00:00:00,2018-06-30,1990-03-31,8.28
1990-04-01 00:00:00,2018-06-30,1990-04-30,8.26
1990-05-01 00:00:00,2018-06-30,1990-05-31,8.18
1990-06-01 00:00:00,2018-06-30,1990-06-30,8.29
1990-07-01 00:00:00,2018-06-30,1990-07-31,8.15
1990-08-01 00:00:00,2018-06-30,1990-08-31,8.13
1990-09-01 00:00:00,2018-06-30,1990-09-30,8.2
1990-10-01 00:00:00,2018-06-30,1990-10-31,8.11
1990-11-01 00:00:00,2018-06-30,1990-11-30,7.81
1990-12-01 00:00:00,2018-06-30,1990-12-31,7.31
1991-01-01 00:00:00,2018-06-30,1991-01-31,6.91
1991-02-01 00:00:00,2018-06-30,1991-02-28,6.25
1991-03-01 00:00:00,2018-06-30,1991-03-31,6.12
1991-04-01 00:00:00,2018-06-30,1991-04-30,5.91
1991-05-01 00:00:00,2018-06-30,1991-05-31,5.78
1991-06-01 00:00:00,2018-06-30,1991-06-30,5.9
1991-07-01 00:00:00,2018-06-30,1991-07-31,5.82
1991-08-01 00:00:00,2018-06-30,1991-08-31,5.66
1991-09-01 00:00:00,2018-06-30,1991-09-30,5.45
1991-10-01 00:00:00,2018-06-30,1991-10-31,5.21
1991-11-01 00:00:00,2018-06-30,1991-11-30,4.81
1991-12-01 00:00:00,2018-06-30,1991-12-31,4.43
1992-01-01 00:00:00,2018-06-30,1992-01-31,4.03
1992-02-01 00:00:00,2018-06-30,1992-02-29,4.06
1992-03-01 00:00:00,2018-06-30,1992-03-31,3.98
1992-04-01 00:00:00,2018-06-30,1992-04-30,3.73
1992-05-01 00:00:00,2018-06-30,1992-05-31,3.82
1992-06-01 00:00:00,2018-06-30,1992-06-30,3.76
1992-07-01 00:00:00,2018-06-30,1992-07-31,3.25
1992-08-01 00:00:00,2018-06-30,1992-08-31,3.3
1992-09-01 00:00:00,2018-06-30,1992-09-30,3.22
1992-10-01 00:00:00,2018-06-30,1992-10-31,3.1
1992-11-01 00:00:00,2018-06-30,1992-11-30,3.09
1992-12-01 00:00:00,2018-06-30,1992-12-31,2.92
1993-01-01 00:00:00,2018-06-30,1993-01-31,3.02
1993-02-01 00:00:00,2018-06-30,1993-02-28,3.03
1993-03-01 00:00:00,2018-06-30,1993-03-31,3.07
1993-04-01 00:00:00,2018-06-30,1993-04-30,2.96
1993-05-01 00:00:00,2018-06-30,1993-05-31,3.0
1993-06-01 00:00:00,2018-06-30,1993-06-30,3.04
1993-07-01 00:00:00,2018-06-30,1993-07-31,3.06
1993-08-01 00:00:00,2018-06-30,1993-08-31,3.03
1993-09-01 00:00:00,2018-06-30,1993-09-30,3.09
1993-10-01 00:00:00,2018-06-30,1993-10-31,2.99
1993-11-01 00:00:00,2018-06-30,1993-11-30,3.02
1993-12-01 00:00:00,2018-06-30,1993-12-31,2.96
1994-01-01 00:00:00,2018-06-30,1994-01-31,3.05
1994-02-01 00:00:00,2018-06-30,1994-02-28,3.25
1994-03-01 00:00:00,2018-06-30,1994-03-31,3.34
1994-04-01 00:00:00,2018-06-30,1994-04-30,3.56
1994-05-01 00:00:00,2018-06-30,1994-05-31,4.01
1994-06-01 00:00:00,2018-06-30,1994-06-30,4.25
1994-07-01 00:00:00,2018-06-30,1994-07-31,4.26
1994-08-01 00:00:00,2018-06-30,1994-08-31,4.47
1994-09-01 00:00:00,2018-06-30,1994-09-30,4.73
1994-10-01 00:00:00,2018-06-30,1994-10-31,4.76
1994-11-01 00:00:00,2018-06-30,1994-11-30,5.29
1994-12-01 00:00:00,2018-06-30,1994-12-31,5.45
1995-01-01 00:00:00,2018-06-30,1995-01-31,5.53
1995-02-01 00:00:00,2018-06-30,1995-02-28,5.92
1995-03-01 00:00:00,2018-06-30,1995-03-31,5.98
1995-04-01 00:00:00,2018-06-30,1995-04-30,6.05
1995-05-01 00:00:00,2018-06-30,1995-05-31,6.01
1995-06-01 00:00:00,2018-06-30,1995-06-30,6.0
1995-07-01 00:00:00,2018-06-30,1995-07-31,5.85
1995-08-01 00:00:00,2018-06-30,1995-08-31,5.74
1995-09-01 00:00:00,2018-06-30,1995-09-30,5.8
1995-10-01 00:00:00,2018-06-30,1995-10-31,5.76
1995-11-01 00:00:00,2018-06-30,1995-11-30,5.8
1995-12-01 00:00:00,2018-06-30,1995-12-31,5.6
1996-01-01 00:00:00,2018-06-30,1996-01-31,5.56
1996-02-01 00:00:00,2018-06-30,1996-02-29,5.22
1996-03-01 00:00:00,2018-06-30,1996-03-31,5.31
1996-04-01 00:00:00,2018-06-30,1996-04-30,5.22
1996-05-01 00:00:00,2018-06-30,1996-05-31,5.24
1996-06-01 00:00:00,2018-06-30,1996-06-30,5.27
1996-07-01 00:00:00,2018-06-30,1996-07-31,5.4
1996-08-01 00:00:00,2018-06-30,1996-08-31,5.22
1996-09-01 00:00:00,2018-06-30,1996-09-30,5.3
1996-10-01 00:00:00,2018-06-30,1996-10-31,5.24
1996-11-01 00:00:00,2018-06-30,1996-11-30,5.31
