date,realtime_end,realtime_start,FF
2017-05-01 00:00:00,2018-06-30,2017-05-31,0.91
2017-06-01 00:00:00,2018-06-30,2017-06-30,1.04
2017-07-01 00:00:00,2018-06-30,2017-07-31,1.15
2017-08-01 00:00:00,2018-06-30,2017-08-31,1.16
2017-09-01 00:00:00,2018-06-30,2017-09-30,1.15
2017-10-01 00:00:00,2018-06-30,2017-10-31,1.15
2017-11-01 00:00:00,2018-06-30,2017-11-30,1.16
2017-12-01 00:00:00,2018-06-30,2017-12-31,1.3
2018-01-01 00:00:00,2018-06-30,2018-01-31,1.41
2018-02-01 00:00:00,2018-06-30,2018-02-28,1.42
2018-03-01 00:00:00,2018-06-30,2018-03-31,1.51
2018-04-01 00:00:00,2018-06-30,2018-04-30,1.69
2018-05-01 00:00:00,2018-06-30,2018-05-31,1.7
