date,realtime_end,realtime_start,AWH
1981-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.9
1981-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1981-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1981-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.8
1981-06-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.9
1981-06-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1981-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1981-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.1
1981-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.0
1981-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.9
1981-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1981-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.0
1981-08-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.0
1981-08-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.9
1981-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1981-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.7
1981-09-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.6
1981-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.5
1981-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.4
1981-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.7
1981-10-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.6
1981-10-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.5
1981-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.4
1981-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.4
1981-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.3
1981-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.2
1981-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.1
1981-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.4
1981-12-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,70.5
1981-12-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,70.6
1981-12-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.5
1981-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.4
1982-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.2
1982-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,68.6
1982-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,68.5
1982-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.4
1982-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.6
1982-02-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,70.7
1982-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.6
1982-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.5
1982-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.6
1982-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,70.1
1982-03-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,70.0
1982-03-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,69.9
1982-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.8
1982-04-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.6
1982-04-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.5
1982-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.4
1982-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.8
1982-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.6
1982-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.5
1982-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.4
1982-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.3
1982-06-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.3
1982-06-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.2
1982-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.1
1982-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.9
1982-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.1
1982-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.0
1982-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.9
1982-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.6
1982-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,68.6
1982-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.5
1982-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.3
1982-09-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,68.7
1982-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,68.6
1982-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.5
1982-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,98.7
1982-10-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,67.9
1982-10-01 00:00:00,2016-02-04 00:00:00,2013-02-01 00:00:00,67.8
1982-10-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,67.7
1982-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,98.6
1982-11-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,67.7
1982-11-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,67.8
1982-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,67.7
1982-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,67.6
1982-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,98.6
1982-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,67.9
1982-12-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,67.8
1982-12-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,67.7
1983-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.5
1983-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,68.4
1983-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,68.3
1983-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.2
1983-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,98.4
1983-02-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,67.7
1983-02-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,67.8
1983-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,67.7
1983-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,67.6
1983-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.1
1983-03-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,68.3
1983-03-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,68.4
1983-03-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,68.3
1983-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.2
1983-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,99.8
1983-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,68.8
1983-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,68.7
1983-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.4
1983-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.3
