date,realtime_end,realtime_start,EMP
1982-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,90557.0
1982-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90567.0
1982-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,90474.0
1982-02-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,90554.0
1982-02-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,90551.0
1982-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90562.0
1982-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,90337.0
1982-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,90422.0
1982-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90432.0
1982-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,90031.0
1982-04-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,90139.0
1982-04-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,90141.0
1982-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90152.0
1982-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89965.0
1982-05-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,90097.0
1982-05-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,90096.0
1982-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90107.0
1982-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89703.0
1982-06-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89852.0
1982-06-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89853.0
1982-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89864.0
1982-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89380.0
1982-07-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89509.0
1982-07-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89510.0
1982-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89522.0
1982-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89177.0
1982-08-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89351.0
1982-08-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89352.0
1982-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89364.0
1982-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88995.0
1982-09-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89170.0
1982-09-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89171.0
1982-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89183.0
1982-10-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88787.0
1982-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,88894.0
1982-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,88906.0
1982-11-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88649.0
1982-11-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,88769.0
1982-11-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,88770.0
1982-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,88783.0
1982-12-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88675.0
1982-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,88756.0
1982-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,88769.0
1983-01-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88826.0
1983-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,88981.0
1983-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,88993.0
1983-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88758.0
1983-02-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,88907.0
1983-02-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,88903.0
1983-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,88918.0
1983-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,88946.0
1983-03-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89077.0
1983-03-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89076.0
1983-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89090.0
1983-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89211.0
1983-04-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,89350.0
1983-04-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,89352.0
1983-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89366.0
1983-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89497.0
1983-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,89629.0
1983-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,89643.0
1983-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89886.0
1983-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,90007.0
