date,realtime_end,realtime_start,IP
1980-04-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,84.5
1980-04-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,80.271
1980-04-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,80.311
1980-04-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.093
1980-04-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,63.915
1980-04-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.098
1980-04-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.158
1980-04-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,56.659
1980-04-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,56.6595
1980-04-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.6309
1980-04-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,56.7639
1980-04-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,56.7596
1980-04-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.4917
1980-04-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.6005
1980-04-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.6891
1980-04-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.644
1980-04-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.6413
1980-04-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.4456
1980-04-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.7031
1980-04-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.4571
1980-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.2375
1980-05-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,82.5
1980-05-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,78.283
1980-05-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,78.322
1980-05-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,62.526
1980-05-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,62.352
1980-05-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,61.564
1980-05-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,61.57
1980-05-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,55.226
1980-05-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,55.2259
1980-05-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,54.2252
1980-05-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,55.3377
1980-05-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,55.3343
1980-05-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,49.2335
1980-05-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,49.3434
1980-05-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,49.4292
1980-05-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,49.3989
1980-05-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,49.4133
1980-05-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,51.1731
1980-05-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,51.4325
1980-05-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,51.1904
1980-05-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,50.9676
1980-06-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,81.5
1980-06-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,77.291
1980-06-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,77.329
1980-06-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,61.683
1980-06-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,61.512
1980-06-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,60.779
1980-06-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,60.787
1980-06-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,54.519
1980-06-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,54.5194
1980-06-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,53.5433
1980-06-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,54.6632
1980-06-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,54.6461
1980-06-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,48.6344
1980-06-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,48.7386
1980-06-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,48.8248
1980-06-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,48.7957
1980-06-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,48.8003
1980-06-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,50.5456
1980-06-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,50.8002
1980-06-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,50.5575
1980-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,50.3335
1980-07-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,81.2
1980-07-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,76.795
1980-07-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,76.833
1980-07-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,61.075
1980-07-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,60.906
1980-07-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,60.398
1980-07-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,60.394
1980-07-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,54.161
1980-07-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,54.1614
1980-07-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,53.1956
1980-07-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,54.2886
1980-07-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,54.2557
1980-07-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,48.298
1980-07-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,48.4057
1980-07-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,48.4916
1980-07-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,48.4736
1980-07-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,48.4819
1980-07-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,50.1491
1980-07-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,50.4013
1980-07-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,50.166
1980-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,49.9417
1980-08-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,82.4
1980-08-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,77.696
1980-08-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,77.734
1980-08-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,61.406
1980-08-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,61.236
1980-08-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,60.547
1980-08-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,60.59
1980-08-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,54.349
1980-08-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,53.374
1980-08-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,54.4625
1980-08-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,54.4531
1980-08-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,48.454
1980-08-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,48.5507
1980-08-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,48.6382
1980-08-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,48.6131
1980-08-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,48.6125
1980-08-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,50.346
1980-08-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,50.5944
1980-08-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,50.353
1980-08-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,50.1226
1980-09-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,83.5
