-0.23944,1.2841
-0.24183,1.5735
-0.23923,1.4598
-0.1376,1.0259
-0.13374,1.5415
-0.13922,1.6742
-0.23429,1.4088
-0.19515,1.3093
-0.1279,0.72467
-0.09118,0.89609
-0.053447,0.75244
0.019692,0.79384
0.085871,0.9235
0.094956,1.2527
0.028906,1.7051
-0.054623,1.3338
0.027563,1.0999
-0.0049013,1.0713
-0.071743,1.1698
-0.02873,1.1698
0.065208,1.2281
0.08628,1.0431
0.22288,0.87954
0.23595,0.962
0.16094,1.0021
0.19391,0.85613
0.10589,0.80141
-0.041486,1.1298
0.19493,0.95866
0.011577,0.80605
-0.007814,1.0551
-0.12659,0.86909
-0.082428,0.94018
0.034642,0.95694
-0.053734,1.087
-0.22927,1.6598
-0.25351,1.7617
-0.09401,1.1387
-0.081374,1.3981
-0.15663,1.4475
-0.22994,1.9099
-0.26642,1.7378
-0.36794,1.5193
-0.31669,1.7801
-0.45299,2.0186
-0.33708,1.9534
-0.35072,1.7568
-0.35692,1.6761
-0.36512,1.7042
-0.31697,1.7005
-0.3105,1.4159
-0.19565,2.1125
-0.1759,1.7202
-0.18337,2.2528
-0.317,1.7774
-0.31836,1.3451
-0.33376,1.5807
-0.37175,1.4452
-0.28213,1.8585
-0.40311,1.4759
-0.36818,2.2462
-0.52431,2.4046
-0.46959,1.9986
-0.49574,2.2676
-0.4395,2.2771
-0.44806,2.5063
-0.29467,1.8423
-0.23352,1.5079
-0.19621,1.368
-0.067027,1.115
-0.017563,0.91907
-0.021246,0.96483
0.068353,1.2374
-0.01903,1.3353
-0.075422,1.5367
-0.095556,1.2822
-0.1436,1.7034
-0.19251,1.5997
-0.16969,1.3587
-0.15549,1.4438
-0.079694,1.295
-0.072229,1.4301
-0.11785,1.6776
-0.15048,1.4942
-0.23517,1.6363
-0.22985,1.814
0.057595,1.3303
0.0044432,1.1895
-0.086024,1.0785
-0.09252,1.2425
-0.17219,1.2648
-0.11598,1.2769
-0.028589,1.0259
-0.16085,1.1517
-0.13575,1.6286
-0.25072,2.3633
-0.15934,2.0694
-0.21836,1.6136
-0.10524,1.3886
-0.10127,1.1603
0.03985,0.92169
0.054989,1.068
0.13496,0.97204
0.13347,1.0216
0.064511,0.96892
0.19344,0.87034
0.13826,0.76754
0.18645,0.76003
0.094894,0.83921
0.12021,0.74641
0.11477,0.93053
0.15837,0.94898
0.14101,0.97415
0.22949,0.87111
0.19446,0.78078
0.17505,0.86686
0.32731,0.79429
0.11781,0.96343
0.18066,0.84114
0.18903,0.93426
0.12592,1.1039
0.095218,0.95657
0.18896,1.0596
0.15979,0.9436
0.29531,0.78113
0.29373,0.83572
0.24533,0.75051
0.21246,0.94457
0.23612,0.91416
0.21277,1.1456
0.19117,1.0312
0.14049,1.0656
0.089816,1.4377
-0.11425,1.9048
-0.032518,1.0348
0.10049,0.87453
0.14425,0.70056
0.036406,0.83951
0.077929,0.9744
0.068538,0.77952
0.15814,1.0226
0.1581,1.001
0.12131,0.92367
0.068276,1.2051
0.00078096,1.4207
-0.04263,0.88139
-0.13697,1.1056
0.062233,0.78719
0.051449,0.89006
0.21572,0.64798
0.29445,0.59882
0.29941,0.75581
0.29743,0.75604
0.27614,0.60754
0.11897,0.77065
0.25998,0.75093
0.34407,0.72774
0.32004,0.7227
0.21887,0.49019
0.041546,0.752
0.012943,1.0314
